date,debttoequityratio
2024-09-30,9.60
2024-06-30,8.82
2024-03-31,8.40
2023-12-31,8.82
2023-09-30,8.67
2023-06-30,8.94
2023-03-31,8.64
2022-12-31,8.14
2022-09-30,8.43
2022-06-30,8.37
2022-03-31,7.96
2021-12-31,7.77
2021-09-30,7.76
2021-06-30,8.39
2021-03-31,8.79
2020-12-31,9.02
2020-09-30,14.70
2020-06-30,13.57
2020-03-31,12.59
2019-12-31,9.73
2019-09-30,9.99
2019-06-30,8.14
2019-03-31,7.34
2018-12-31,7.08
2018-09-30,6.97
2018-06-30,6.95
2018-03-31,6.69
2017-12-31,6.61
2017-09-30,6.31
2017-06-30,6.22
2017-03-31,5.54
2016-12-31,5.27
2016-09-30,4.95
2016-06-30,4.90
2016-03-31,4.86
2015-12-31,4.86
2015-09-30,4.79
2015-06-30,4.62
2015-03-31,4.10
2014-12-31,3.96
2014-09-30,4.06
2014-06-30,4.00
2014-03-31,3.77
2013-12-31,3.88
2013-09-30,3.72
2013-06-30,3.70
2013-03-31,3.67
2012-12-31,3.73
2012-09-30,3.69
2012-06-30,3.49
2012-03-31,3.45
2011-12-31,3.73
2011-09-30,3.64
2011-06-30,3.41
2011-03-31,3.42
2010-12-31,3.41
2010-09-30,3.42
2010-06-30,3.49
2010-03-31,3.86
2009-12-31,4.01
2009-09-30,4.09
2009-06-30,4.08
2009-03-31,5.34
