date,NOI
2024-12-31,0.1380
2024-09-30,0.1610
2024-06-30,0.1780
2024-03-31,0.1820
2023-12-31,0.1720
2023-09-30,0.1690
2023-06-30,0.1760
2023-03-31,0.1750
2022-12-31,0.1610
2022-09-30,0.1420
2022-06-30,0.1660
2022-03-31,0.1540
2021-12-31,0.1480
2021-09-30,0.1330
2021-06-30,0.1320
2021-03-31,0.1290
2020-12-31,0.1260
2020-09-30,0.1090
2020-06-30,0.1170
2020-03-31,0.1160
2019-12-31,0.1060
2019-09-30,0.0980
2019-06-30,0.1080
2019-03-31,0.0940
2018-12-31,0.0930
2018-09-30,0.0840
2018-06-30,0.0770
2018-03-31,0.0670
2017-12-31,0.0230
2017-09-30,0.0300
2017-06-30,0.0540
2017-03-31,0.0120
2016-12-31,0.0450
2016-09-30,0.0450
2016-06-30,0.0500
2016-03-31,0.0510
