date,assets
2024-12-31,18.7010
2024-09-30,19.6330
2024-06-30,19.2390
2024-03-31,19.2100
2023-12-31,19.2210
2023-09-30,19.4660
2023-06-30,18.5420
2023-03-31,18.5030
2022-12-31,18.5370
2022-09-30,18.6780
2022-06-30,18.5070
2022-03-31,18.5440
2021-12-31,18.5380
2021-09-30,18.2510
2021-06-30,17.4850
2021-03-31,17.4900
2020-12-31,17.5060
2020-09-30,17.7510
2020-06-30,17.7460
2020-03-31,17.5930
2019-12-31,17.3930
2019-09-30,17.6600
2019-06-30,17.7140
2019-03-31,17.8540
2018-12-31,18.0630
2018-09-30,18.4770
2018-06-30,18.6650
2018-03-31,18.6960
2017-12-31,18.6840
2017-09-30,9.5250
2017-06-30,9.5190
2017-03-31,9.5880
2016-12-31,9.7320
2016-09-30,0.0000
2016-06-30,0.0000
2016-03-31,0.0000
2015-12-31,9.7970
2014-12-31,9.2000
