date,ebitda
2024-12-31,0.3260
2024-09-30,0.3470
2024-06-30,0.3600
2024-03-31,0.3620
2023-12-31,0.3500
2023-09-30,0.3440
2023-06-30,0.3460
2023-03-31,0.3440
2022-12-31,0.3290
2022-09-30,0.3070
2022-06-30,0.3280
2022-03-31,0.3140
2021-12-31,0.2960
2021-09-30,0.2920
2021-06-30,0.2850
2021-03-31,0.2810
2020-12-31,0.2680
2020-09-30,0.2550
2020-06-30,0.2650
2020-03-31,0.2630
2019-12-31,0.2540
2019-09-30,0.2440
2019-06-30,0.2560
2019-03-31,0.2430
2018-12-31,0.2380
2018-09-30,0.2360
2018-06-30,0.2350
2018-03-31,0.2210
2017-12-31,0.1360
2017-09-30,0.1040
2017-06-30,0.1290
2017-03-31,0.0940
2016-12-31,0.1270
2016-09-30,0.1260
2016-06-30,0.1350
2016-03-31,0.1350
