date,netincome
2024-12-31,0.1430
2024-09-30,0.0950
2024-06-30,0.0730
2024-03-31,0.1420
2023-12-31,0.1290
2023-09-30,0.1320
2023-06-30,0.1380
2023-03-31,0.1200
2022-12-31,0.1000
2022-09-30,0.0790
2022-06-30,0.1110
2022-03-31,0.0920
2021-12-31,0.0740
2021-09-30,0.0690
2021-06-30,0.0600
2021-03-31,0.0570
2020-12-31,0.0710
2020-09-30,0.0330
2020-06-30,0.0430
2020-03-31,0.0500
2019-12-31,0.0520
2019-09-30,0.0340
2019-06-30,0.0390
2019-03-31,0.0210
2018-12-31,0.0250
2018-09-30,0.0010
2018-06-30,-0.0140
2018-03-31,-0.0170
2017-12-31,-0.0460
2017-09-30,-0.0230
2017-06-30,0.0060
2017-03-31,-0.0420
2016-12-31,-0.0270
2016-09-30,-0.0220
2016-06-30,-0.0200
2016-03-31,-0.0100
