date,revenue
2024-12-31,0.6590
2024-09-30,0.6600
2024-06-30,0.6530
2024-03-31,0.6460
2023-12-31,0.6240
2023-09-30,0.6180
2023-06-30,0.6000
2023-03-31,0.5900
2022-12-31,0.5800
2022-09-30,0.5690
2022-06-30,0.5570
2022-03-31,0.5320
2021-12-31,0.5200
2021-09-30,0.5100
2021-06-30,0.4920
2021-03-31,0.4750
2020-12-31,0.4640
2020-09-30,0.4590
2020-06-30,0.4500
2020-03-31,0.4500
2019-12-31,0.4440
2019-09-30,0.4430
2019-06-30,0.4420
2019-03-31,0.4360
2018-12-31,0.4330
2018-09-30,0.4340
2018-06-30,0.4320
2018-03-31,0.4240
2017-12-31,0.3300
2017-09-30,0.2440
2017-06-30,0.2420
2017-03-31,0.2390
2016-12-31,0.2350
2016-09-30,0.2330
2016-06-30,0.2300
2016-03-31,0.2250
