date,totalshareholderequity
2024-12-31,9.7930
2024-09-30,9.9520
2024-06-30,10.0670
2024-03-31,10.1700
2023-12-31,10.1900
2023-09-30,10.2700
2023-06-30,10.2830
2023-03-31,10.2530
2022-12-31,10.3240
2022-09-30,10.3460
2022-06-30,10.2820
2022-03-31,10.2250
2021-12-31,9.8390
2021-09-30,9.5230
2021-06-30,8.6200
2021-03-31,8.6320
2020-12-31,8.5560
2020-09-30,8.3310
2020-06-30,8.3440
2020-03-31,7.9580
2019-12-31,8.2660
2019-09-30,8.1770
2019-06-30,8.0370
2019-03-31,8.2210
2018-12-31,8.3690
2018-09-30,8.5650
2018-06-30,8.5840
2018-03-31,8.6370
2017-12-31,8.6500
2017-09-30,3.6020
2017-06-30,3.6440
2017-03-31,3.6580
2016-12-31,1.9570
2016-09-30,0.0000
2016-06-30,0.0000
2016-03-31,0.0000
2015-12-31,1.8870
2014-12-31,2.4570
