date,grossprofit
2024-12-31,1.3100
2024-09-30,1.2230
2024-06-30,1.2060
2024-03-31,1.1820
2023-12-31,1.2720
2023-09-30,1.1360
2023-06-30,1.1160
2023-03-31,1.1060
2022-12-31,1.1330
2022-09-30,1.0630
2022-06-30,1.0350
2022-03-31,1.0580
2021-12-31,1.0560
2021-09-30,1.0490
2021-06-30,1.0240
2021-03-31,1.0160
2020-12-31,0.9160
2020-09-30,0.8380
2020-06-30,0.8600
2020-03-31,1.1060
2019-12-31,1.2300
2019-09-30,1.1530
2019-06-30,1.1530
2019-03-31,1.1980
2018-12-31,1.2080
2018-09-30,1.1420
2018-06-30,1.1480
2018-03-31,1.1390
2017-12-31,1.1710
2017-09-30,1.1480
2017-06-30,1.1190
2017-03-31,1.1090
2016-12-31,1.1830
2016-09-30,1.1020
2016-06-30,1.0800
2016-03-31,1.0980
2015-12-31,1.1370
2015-09-30,1.0690
2015-06-30,1.1200
2015-03-31,0.9800
2014-12-31,1.0730
2014-09-30,1.0090
2014-06-30,0.9680
2014-03-31,0.9380
2013-12-31,0.9280
2013-09-30,0.9320
2013-06-30,0.8800
2013-03-31,0.9660
2012-12-31,0.6630
2012-09-30,0.9640
2012-06-30,0.9390
2012-03-31,0.8900
2011-12-31,0.9360
2011-09-30,0.8400
2011-06-30,0.8140
2011-03-31,0.7960
2010-12-31,0.8920
2010-09-30,0.7570
2010-06-30,0.7330
2010-03-31,0.7130
2009-12-31,0.8170
2009-09-30,0.7120
2009-06-30,0.6940
2009-03-31,0.7020
